Team1,Team2,Toss,Match days,Winner,Player of the Match,Margin,Ground,Match Date,ODI Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total CTs participated,Team1 Total CTs won,Team2 Total CTs participated,Team2 Total CTs won,Team1 W/L ratio over Team2,Season
Australia,New Zealand,"Australia, elected to bat first",day,Australia,Glenn McGrath,164 runs,Colombo (SSC),9/15/2002,ODI # 1877,57.75,76.67,68.67,71,2,0,2,1,2.24,2002
India,Zimbabwe,"India, elected to bat first",daynight,India,Mohammad Kaif,14 runs,Colombo (RPS),9/14/2002,ODI # 1876,60,70.5,66.92,84.17,2,0,2,0,4,2002
South Africa,West Indies,"South Africa, elected to field first",day,South Africa,Jonty Rhodes,2 wickets,Colombo (SSC),9/13/2002,ODI # 1875,61.93,60.64,69,76.27,2,1,2,0,2.125,2002
Sri Lanka,Pakistan,"Pakistan, elected to bat first",daynight,Sri Lanka,Sanath Jayasuriya,8 wickets,Colombo (RPS),9/12/2002,ODI # 1874,59.45,67.82,70.73,60.09,2,0,2,0,0.586,2002
England,West Indies,"West Indies, elected to field first",day,West Indies,Ian Bradshaw,2 wickets,The Oval,9/25/2004,ODI # 2182,64.27,67.71,70.36,77.21,3,0,3,0,0.805,2004
Pakistan,West Indies,"Pakistan, elected to bat first",day,West Indies,Ramnaresh Sarwan,7 wickets,Southampton,9/22/2004,ODI # 2181,57.75,67.71,67.83,78.14,3,0,3,0,0.805,2004
England,Australia,"England, elected to field first",day,England,Michael Vaughan,6 wickets,Birmingham,9/21/2004,ODI # 2180,65.55,51.75,70.36,62,3,0,3,0,0.704,2004
India,Pakistan,"Pakistan, elected to field first",day,Pakistan,Mohammad Yousuf,3 wickets,Birmingham,9/19/2004,ODI # 2179,65.5,58.08,70.58,68.83,3,1,3,0,0.589,2004
South Africa,West Indies,"West Indies, elected to field first",day,West Indies,Ramnaresh Sarwan,5 wickets,The Oval,9/18/2004,ODI # 2178,53,68.29,68.45,78.64,3,1,3,0,2.1,2004
England,Sri Lanka,"Sri Lanka, elected to field first",day,England,Andrew Flintoff,49 runs,Southampton,9/17/2004,ODI # 2177,66.73,60.82,70.45,70.09,3,0,3,1,1.384,2004
Australia,New Zealand,"Australia, elected to field first",day,Australia,Andrew Symonds,7 wickets,The Oval,9/16/2004,ODI # 2176,52.08,56.42,63.17,58.25,3,0,3,1,2.44,2004
Bangladesh,West Indies,"Bangladesh, elected to field first",day,West Indies,Chris Gayle,138 runs,Southampton,9/15/2004,ODI # 2175,95.83,68.57,94,80.5,2,0,3,0,0,2004
Sri Lanka,Zimbabwe,"Sri Lanka, elected to field first",day,Sri Lanka,Elton Chigumbura,4 wickets,The Oval,9/14/2004,ODI # 2173,61.18,88.27,71.09,97.09,3,1,3,0,4.5,2004
Kenya,Pakistan,"Pakistan, elected to field first",day,Pakistan,Shahid Afridi,7 wickets,Birmingham,9/14/2004,ODI # 2174,100.33,57.58,96.33,69.08,2,0,3,0,0,2004
Australia,U.S.A.,"Australia, elected to field first",day,Australia,Michael Kasprowicz,9 wickets,Southampton,9/13/2004,ODI # 2172,52.25,101,63.08,101,3,0,0,0,0,2004
Bangladesh,South Africa,"Bangladesh, elected to bat first",day,South Africa,Charl Langeveldt,9 wickets,Birmingham,9/12/2004,ODI # 2171,95.25,53.45,93.92,70.55,2,0,3,1,0,2004
India,Kenya,"Kenya, elected to field first",day,India,Sourav Ganguly,98 runs,Southampton,9/11/2004,ODI # 2170,65.25,99.67,70.58,96.42,3,1,2,0,5,2004
England,Zimbabwe,"Zimbabwe, elected to field first",day,England,Paul Collingwood,152 runs,Birmingham,9/10/2004,ODI # 2168,67.36,89.18,71.18,96.82,3,0,3,0,2,2004
New Zealand,U.S.A.,"United States of America, elected to field first",day,New Zealand,Nathan Astle,210 runs,The Oval,9/10/2004,ODI # 2169,57.25,101,58.17,101,3,1,0,0,2,2004
Australia,West Indies,"West Indies, elected to bat first",daynight,Australia,"Shane Watson
",8 wickets,Brabourne,11/5/2006,ODI # 2443,59.58,64.21,59.67,65.21,4,0,4,1,0.91,2006
South Africa,West Indies,"South Africa, elected to bat first",daynight,West Indies,Chris Gayle,6 wickets,Jaipur,11/2/2006,ODI # 2442,62.43,64.14,68.14,66.36,4,1,4,1,2.363,2006
Australia,New Zealand,"New Zealand, elected to field first",daynight,Australia,Glenn McGrath,34 runs,Mohali,11/1/2006,ODI # 2441,59.25,66.62,59.5,64.23,4,0,4,1,2.592,2006
India,Australia,"India, elected to bat first",daynight,Australia,Damien Martyn,6 wickets,Mohali,10/29/2006,ODI # 2440,63.67,60.25,74.67,59.08,4,1,4,0,0.54,2006
England,West Indies,"West Indies, elected to bat first",daynight,England,Chris Gayle,3 wickets,Ahmedabad,10/28/2006,ODI # 2439,68.25,65.07,70,66.5,4,0,4,1,2.625,2006
Pakistan,South Africa,"South Africa, elected to bat first",daynight,South Africa,Makhaya Ntini,124 runs,Mohali,10/27/2006,ODI # 2438,72.08,61.93,69.58,68.71,4,0,4,1,0.464,2006
India,West Indies,"West Indies, elected to field first",daynight,West Indies,Shivnarine Chanderpaul,3 wickets,Ahmedabad,10/26/2006,ODI # 2437,64,65.14,74.33,66.64,4,1,4,1,0.627,2006
New Zealand,Pakistan,"Pakistan, elected to field first",daynight,New Zealand,Stephen Fleming,51 runs,Mohali,10/25/2006,ODI # 2436,66.31,72.25,63.85,70.17,4,1,4,0,0.595,2006
South Africa,Sri Lanka,"Sri Lanka, elected to field first",daynight,South Africa,Shaun Pollock,78 runs,Ahmedabad,10/24/2006,ODI # 2435,62.5,68.15,68.57,72.54,4,1,4,1,0.952,2006
Australia,England,"Australia, elected to field first",daynight,Australia,Damien Martyn,6 wickets,Jaipur,10/21/2006,ODI # 2434,60.75,68.83,60.25,70.25,4,0,4,0,1.382,2006
New Zealand,Sri Lanka,"New Zealand, elected to bat first",daynight,Sri Lanka,Stephen Fleming,7 wickets,Brabourne,10/20/2006,ODI # 2433,65.62,68.92,64.31,73.77,4,1,4,1,1.28,2006
Australia,West Indies,"West Indies, elected to bat first",daynight,West Indies,Runako Morton,10 runs,Brabourne,10/18/2006,ODI # 2432,60,65.86,60.08,67.21,4,0,4,1,0.91,2006
Pakistan,Sri Lanka,"Sri Lanka, elected to bat first",daynight,Pakistan,Abdul Razzaq,4 wickets,Jaipur,10/17/2006,ODI # 2431,72.75,69.08,70.92,73.85,4,0,4,1,1.684,2006
New Zealand,South Africa,"South Africa, elected to field first",daynight,New Zealand,Stephen Fleming,87 runs,Brabourne,10/16/2006,ODI # 2430,65.54,62,64.85,68.86,4,1,4,1,0.518,2006
India,England,"India, elected to field first",daynight,India,Munaf Patel,4 wickets,Jaipur,10/15/2006,ODI # 2429,63.33,68.58,75.13,70.5,4,1,4,0,1.115,2006
Sri Lanka,West Indies,"West Indies, elected to bat first",daynight,Sri Lanka,Farveez Maharoof,9 wickets,Brabourne,10/14/2006,ODI # 2428,69,65.79,75.31,66.64,4,1,4,1,0.66,2006
Bangladesh,Zimbabwe,"Zimbabwe, elected to field first",daynight,Bangladesh,Shahriar Nafees,101 runs,Jaipur,10/13/2006,ODI # 2427,87.38,89.08,88.77,88.58,3,0,4,0,0.352,2006
Bangladesh,West Indies,"Bangladesh, elected to bat first",daynight,West Indies,Chris Gayle,10 wickets,Jaipur,10/11/2006,ODI # 2426,87.77,65.79,88.69,68.64,3,0,4,1,0,2006
Sri Lanka,Zimbabwe,"Sri Lanka, elected to bat first",daynight,Sri Lanka,Upul Tharanga,144 runs,Ahmedabad,10/10/2006,ODI # 2425,69.08,89,76,88.17,4,1,4,0,4.833,2006
West Indies,Zimbabwe,"Zimbabwe, elected to bat first",daynight,West Indies,Chris Gayle,9 wickets,Ahmedabad,10/8/2006,ODI # 2424,66.14,87.92,68.93,87.75,4,1,4,0,3.142,2006
Bangladesh,Sri Lanka,"Bangladesh, elected to field first",daynight,Sri Lanka,Upul Tharanga,37 runs,Mohali,10/7/2006,ODI # 2423,88,69.85,88.85,76.23,3,0,4,1,0.062,2006
Australia,New Zealand,"New Zealand, elected to bat first",daynight,Australia,Shane Watson,6 wickets,Centurion,10/5/2009,ODI # 2907,80.27,82.6,73.93,75.67,5,1,5,1,2.5,2009
New Zealand,Pakistan,"Pakistan, elected to bat first",daynight,New Zealand,Daniel Vettori,5 wickets,Johannesburg,10/3/2009,ODI # 2906,84,76.13,75.53,67.67,5,1,5,0,0.617,2009
Australia,England,"England, elected to bat first",daynight,Australia,Shane Watson,9 wickets,Centurion,10/2/2009,ODI # 2905,80.6,79.87,74.2,80.33,5,1,5,0,1.526,2009
India,West Indies,"India, elected to field first",daynight,India,Virat Kohli,7 wickets,Johannesburg,9/30/2009,ODI # 2904,73.93,101,82.47,97.6,5,1,5,1,0.685,2009
Australia,Pakistan,"Australia, elected to field first",day,Australia,Michael Hussey,2 wickets,Centurion,9/30/2009,ODI # 2903,80.53,77.33,74.2,68,5,1,5,0,1.586,2009
England,New Zealand,"New Zealand, elected to field first",daynight,New Zealand,Grant Elliott,4 wickets,Johannesburg,9/29/2009,ODI # 2902,80,84.2,80.2,75.6,5,0,5,1,0.852,2009
Australia,India,"Australia, elected to bat first",daynight,no result,,-,Centurion,9/28/2009,ODI # 2901,82.47,73.93,74.13,82.67,5,1,5,1,1.781,2009
South Africa,England,"England, elected to bat first",daynight,England,Owais Shah,22 runs,Centurion,9/27/2009,ODI # 2900,68.27,81.33,80.53,80.33,5,1,5,0,1.466,2009
New Zealand,Sri Lanka,"Sri Lanka, elected to field first",day,New Zealand,Daniel Vettori,38 runs,Johannesburg,9/27/2009,ODI # 2899,84.6,74.07,76,76,5,1,5,1,1.096,2009
India,Pakistan,"Pakistan, elected to bat first",daynight,Pakistan,Shoaib Malik,54 runs,Centurion,9/26/2009,ODI # 2898,74.67,77.07,82.87,69.07,5,1,5,0,0.661,2009
Australia,West Indies,"West Indies, elected to field first",day,Australia,Mitchell Johnson,50 runs,Johannesburg,9/26/2009,ODI # 2897,81.67,101,74.33,98.8,5,1,5,1,1.017,2009
England,Sri Lanka,"England, elected to field first",daynight,England,Paul Collingwood,6 wickets,Johannesburg,9/25/2009,ODI # 2896,82.33,74.53,80.93,75.87,5,0,5,1,0.789,2009
South Africa,New Zealand,"South Africa, elected to field first",day,South Africa,Wayne Parnell,5 wickets,Centurion,9/24/2009,ODI # 2895,68.8,85.13,82.33,75.87,5,1,5,1,1.705,2009
Pakistan,West Indies,"West Indies, elected to bat first",daynight,Pakistan,Umar Akmal,5 wickets,Johannesburg,9/23/2009,ODI # 2894,78.07,101,70.07,98.73,5,0,5,1,0.734,2009
South Africa,Sri Lanka,"South Africa, elected to field first",daynight,Sri Lanka,Tillakaratne Dilshan,55 runs,Centurion,9/22/2009,ODI # 2893,68.2,74.73,82,76.33,5,1,5,1,1.047,2009
England,India,"England, elected to field first",day,India,Ravindra Jadeja,5 runs,Birmingham,6/23/2013,ODI # 3377,70,70.8,71.53,79.93,6,0,6,1,0.76,2013
India,Sri Lanka,"India, elected to field first",day,India,Ishant Sharma,8 wickets,Cardiff,6/20/2013,ODI # 3376,71.8,78.07,81.27,74.2,6,1,6,1,1.442,2013
England,South Africa,"England, elected to field first",day,England,James Tredwell,7 wickets,The Oval,6/19/2013,ODI # 3375,70.2,85.33,72.27,79.8,6,0,5,1,0.84,2013
Australia,Sri Lanka,"Australia, elected to field first",daynight,Sri Lanka,Mahela Jayawardene,20 runs,The Oval,6/17/2013,ODI # 3374,72.53,78.8,74.4,74.2,6,2,6,1,1.833,2013
England,New Zealand,"New Zealand, elected to field first",day,England,Alastair Cook,10 runs,Cardiff,6/16/2013,ODI # 3373,69.87,77.27,72.6,75.27,6,0,6,1,0.842,2013
India,Pakistan,"India, elected to field first",day,India,Bhuvneshwar Kumar,8 wickets,Birmingham,6/15/2013,ODI # 3372,73.53,81.67,82.27,76.8,6,1,6,0,0.69,2013
South Africa,West Indies,"West Indies, elected to field first",day,tied,Colin Ingram,-,Cardiff,6/14/2013,ODI # 3371,85.67,78.27,79.87,73.47,6,1,6,1,3.166,2013
England,Sri Lanka,"Sri Lanka, elected to field first",daynight,Sri Lanka,Kumar Sangakkara,7 wickets,The Oval,6/13/2013,ODI # 3370,70.6,78.8,67.33,74.6,6,0,6,1,1.083,2013
Australia,New Zealand,"Australia, elected to bat first",day,no result,,-,Birmingham,6/12/2013,ODI # 3369,73.47,77.4,74.47,76.13,6,2,6,1,2.5,2013
India,West Indies,"India, elected to field first",day,India,Ravindra Jadeja,8 wickets,The Oval,6/11/2013,ODI # 3368,75.6,76.47,83.53,73.2,6,1,6,1,0.807,2013
Pakistan,South Africa,"South Africa, elected to bat first",daynight,South Africa,Hashim Amla,67 runs,Birmingham,6/10/2013,ODI # 3367,79.93,85.87,76.87,80.6,6,0,6,1,0.487,2013
New Zealand,Sri Lanka,"Sri Lanka, elected to bat first",day,New Zealand,Nathan McCullum,1 wicket,Cardiff,6/9/2013,ODI # 3366,77.6,78.47,77.2,74.53,6,1,6,1,0.945,2013
England,Australia,"England, elected to bat first",day,England,Ian Bell,48 runs,Birmingham,6/8/2013,ODI # 3365,70.87,73.87,67.67,74.4,6,0,6,2,0.686,2013
Pakistan,West Indies,"West Indies, elected to field first",day,West Indies,Kemar Roach,2 wickets,The Oval,6/7/2013,ODI # 3364,79.4,76.47,77.73,73.27,6,0,6,1,0.787,2013
India,South Africa,"South Africa, elected to field first",day,India,Shikhar Dhawan,26 runs,Cardiff,6/6/2013,ODI # 3363,76.2,85.67,83.07,80.27,6,1,6,1,0.6,2013
India,Pakistan,"India, elected to field first",day,Pakistan,Fakhar Zaman,180 runs,The Oval,6/18/2017,ODI # 3894,65.27,71.87,74.47,75.93,7,2,7,0,0.708,2017
Bangladesh,India,"India, elected to field first",day,India,Rohit Sharma,9 wickets,Birmingham,6/15/2017,ODI # 3891,72.8,65.53,77,75.07,4,0,7,2,0.192,2017
England,Pakistan,"Pakistan, elected to field first",day,Pakistan,Hasan Ali,8 wickets,Cardiff,6/14/2017,ODI # 3889,65.13,72.8,69.8,76.53,7,0,7,0,1.633,2017
Pakistan,Sri Lanka,"Pakistan, elected to field first",day,Pakistan,Sarfaraz Ahmed,3 wickets,Cardiff,6/12/2017,ODI # 3888,72.33,81.8,77.53,79.73,7,0,7,1,1.448,2017
India,South Africa,"India, elected to field first",day,India,Jasprit Bumrah,8 wickets,The Oval,6/11/2017,ODI # 3886,65.8,74.2,76.67,73.8,7,2,7,1,0.622,2017
England,Australia,"England, elected to field first",day,England,Ben Stokes,40 runs,Birmingham,6/10/2017,ODI # 3885,65.4,76.2,71.2,77.4,7,0,7,2,0.637,2017
Bangladesh,New Zealand,"New Zealand, elected to bat first",day,Bangladesh,Shakib Al Hasan,5 wickets,Cardiff,6/9/2017,ODI # 3883,72.87,72.47,76.53,77.6,4,0,7,1,0.428,2017
India,Sri Lanka,"Sri Lanka, elected to field first",day,Sri Lanka,Kusal Mendis,7 wickets,The Oval,6/8/2017,ODI # 3882,65.93,82.4,76.2,80,7,2,7,1,1.537,2017
Pakistan,South Africa,"South Africa, elected to bat first",daynight,Pakistan,Hasan Ali,19 runs,Birmingham,6/7/2017,ODI # 3881,72.87,74.27,78.47,69.27,7,0,7,1,0.51,2017
England,New Zealand,"New Zealand, elected to field first",day,England,Jake Ball,87 runs,Cardiff,6/6/2017,ODI # 3880,65.13,71.93,73,78.53,7,0,7,1,0.878,2017
Australia,Bangladesh,"Bangladesh, elected to bat first",daynight,no result,,-,The Oval,6/5/2017,ODI # 3879,76.13,72.67,78.73,76.47,7,2,4,0,18,2017
India,Pakistan,"Pakistan, elected to field first",day,India,Yuvraj Singh,124 runs,Birmingham,6/4/2017,ODI # 3878,66.8,72.4,77.27,78.2,7,2,7,0,0.708,2017
South Africa,Sri Lanka,"Sri Lanka, elected to field first",day,South Africa,Imran Tahir,96 runs,The Oval,6/3/2017,ODI # 3877,73.93,82.53,69.33,80.4,7,1,7,1,1.172,2017
Australia,New Zealand,"New Zealand, elected to bat first",day,no result,,-,Birmingham,6/2/2017,ODI # 3876,76.33,71.4,74.13,78.6,7,2,7,1,2.307,2017
England,Bangladesh,"England, elected to field first",day,England,Joe Root,8 wickets,The Oval,6/1/2017,ODI # 3875,65.2,72.53,69.47,76.27,7,0,4,0,3.75,2017
Australia,India,"Australia, elected to bat first",daynight,India,Virat Kohli,4 wickets,Dubai (DICS),3/4/2025,ODI # 4853,83.47,75.13,89.53,81.2,8,2,8,2,1.473,2025
India,New Zealand,"New Zealand, elected to field first",daynight,India,Varun Chakravarthy,44 runs,Dubai (DICS),3/2/2025,ODI # 4852,75.13,63.14,81.2,81.86,8,2,8,1,1.2,2025
England,South Africa,"England, elected to bat first",daynight,South Africa,Marco Jansen,7 wickets,Karachi,3/1/2025,ODI # 4851,83,72.33,88.87,77,8,0,8,1,0.882,2025
Afghanistan,Australia,"Afghanistan, elected to bat first",daynight,no result,,-,Lahore,2/28/2025,ODI # 4850,78.2,83.47,87.13,89.53,0,0,8,2,0,2025
Afghanistan,England,"Afghanistan, elected to bat first",daynight,Afghanistan,Ibrahim Zadran,8 runs,Lahore,2/26/2025,ODI # 4849,78.2,83,87.13,88.87,0,0,8,0,0.5,2025
Bangladesh,New Zealand,"New Zealand, elected to field first",daynight,New Zealand,Micheal Bracewell,5 wickets,Rawalpindi,2/24/2025,ODI # 4848,88.93,64.14,90.13,83.07,5,0,8,1,0.333,2025
India,Pakistan,"Pakistan, elected to field first",daynight,India,Virat Kohli,6 wickets,Dubai (DICS),2/23/2025,ODI # 4847,75,84,82.13,94.47,8,2,8,1,0.78,2025
Australia,England,"Australia, elected to field first",daynight,Australia,Josh Inglis,5 wickets,Lahore,2/22/2025,ODI # 4846,83.67,84.67,89.53,88.6,8,2,8,0,1.4,2025
Afghanistan,South Africa,"South Africa, elected to bat first",daynight,South Africa,Ryan Rickelton,107 runs,Karachi,2/21/2025,ODI # 4845,77.93,71.93,86.2,77.2,0,0,8,1,0.66,2025
Bangladesh,India,"Bangladesh, elected to bat first",daynight,India,Shubman Gill,6 wickets,Dubai (DICS),2/20/2025,ODI # 4844,89.87,74.8,89.67,82.27,5,0,8,2,0.25,2025
Pakistan,New Zealand,"Pakistan, elected to field first",daynight,New Zealand,Tom Latham,60 runs,Karachi,2/19/2025,ODI # 4843,83.47,65.43,95.47,84.14,8,1,8,1,1.15,2025
